chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2500000	120335315	4	2	2	117835315
chr1	120335353	121485435	3	2	1	1150082
chr1	143531408	146488196	4	3	1	2956788
chr1	147382550	246750621	4	2	2	99368071
chr2	2500000	90500000	4	2	2	88000000
chr2	96800000	240699373	4	2	2	143899373
chr3	2500000	87900000	4	2	2	85400000
chr3	93900000	140523881	4	2	2	46623881
chr3	140524107	180617613	6	4	2	40093506
chr3	180632315	195522430	4	2	2	14890115
chr4	2500000	48200000	4	2	2	45700000
chr4	52700000	188654276	4	2	2	135954276
chr5	2500000	46100000	4	2	2	43600000
chr5	50700000	178415260	4	2	2	127715260
chr6	2500000	58779346	4	2	2	56279346
chr6	63356397	168615067	4	2	2	105258670
chr7	2500000	58000000	6	4	2	55500000
chr7	61700000	72036399	6	4	2	10336399
chr7	72038136	156638663	4	2	2	84600527
chr8	2500000	11898282	4	2	2	9398282
chr8	12623886	31736497	2	2	0	19112611
chr8	31750161	36659913	3	2	1	4909752
chr8	36660187	42956257	4	2	2	6296070
chr8	48332691	82579745	4	2	2	34247054
chr8	82580407	143864022	6	4	2	61283615
chr9	2500000	47266146	4	2	2	44766146
chr9	65507614	71394865	4	3	1	5887251
chr9	71394895	138713431	4	2	2	67318536
chr10	2500000	38000000	4	2	2	35500000
chr10	42300000	133034747	4	2	2	90734747
chr11	2500000	51600000	4	2	2	49100000
chr11	55700000	132506516	4	2	2	76806516
chr12	2500000	33000000	4	2	2	30500000
chr12	38200000	131351895	4	2	2	93151895
chr13	19651767	21756692	12	10	2	2104925
chr13	21757822	25016598	8	6	2	3258776
chr13	25888561	29797496	4	2	2	3908935
chr13	29797644	32084901	11	9	2	2287257
chr13	32094055	37025963	10	8	2	4931908
chr13	37026255	43133532	13	11	2	6107277
chr13	43134445	112669878	6	4	2	69535433
chr14	20067618	104849540	2	2	0	84781922
chr15	20700000	21972735	1	1	0	1272735
chr15	21973683	100031392	2	2	0	78057709
chr16	2500000	32071365	4	2	2	29571365
chr16	38600000	48302961	4	3	1	9702961
chr16	48319667	87854753	4	2	2	39535086
chr17	2500000	21192905	2	2	0	18692905
chr17	25800000	78695210	4	2	2	52895210
chr18	2500000	14173069	2	2	0	11673069
chr18	14174869	15273381	2	1	1	1098512
chr18	19000000	75577248	2	2	0	56577248
chr19	2500000	24400000	4	2	2	21900000
chr19	28600000	56628983	4	2	2	28028983
chr20	2500000	19876080	2	2	0	17376080
chr20	19877906	22062905	11	9	2	2184999
chr20	23860498	25082256	10	8	2	1221758
chr20	29490431	59529257	6	4	2	30038826
chr21	15201220	45629895	4	2	2	30428675
chr22	17900000	48804566	4	4	0	30904566
chrX	2832070	42452133	4	3	1	39620063
chrX	42452145	58566377	4	2	2	16114232
chrX	61682307	152770560	4	3	1	91088253
