chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2847119	12890102	2	2	0	10042983
chr1	12890106	14688209	2	1	1	1798103
chr1	14693336	28411710	2	2	0	13718374
chr1	28422847	121485435	4	2	2	93062588
chr1	142535470	144855312	4	3	1	2319842
chr1	144855374	246750621	4	2	2	101895247
chr2	2500000	90500000	4	2	2	88000000
chr2	96800000	240699373	4	2	2	143899373
chr3	2500000	87900000	4	2	2	85400000
chr3	93900000	195522430	4	2	2	101622430
chr4	2500000	48200000	4	2	2	45700000
chr4	52700000	188654276	4	2	2	135954276
chr5	2500000	46100000	4	2	2	43600000
chr5	50700000	78183261	4	2	2	27483261
chr5	78183471	178415260	4	4	0	100231789
chr6	2500000	58700000	4	2	2	56200000
chr6	63300000	168615067	4	2	2	105315067
chr7	2500000	58000000	4	2	2	55500000
chr7	61700000	156638663	4	2	2	94938663
chr8	2500000	7025513	4	2	2	4525513
chr8	7027448	8088877	4	3	1	1061429
chr8	8088933	43100000	4	2	2	35011067
chr8	48100000	143864022	4	2	2	95764022
chr9	2500000	47266576	4	2	2	44766576
chr9	65474794	71311151	4	3	1	5836357
chr9	71311576	138713431	4	2	2	67401855
chr10	2500000	38000000	4	2	2	35500000
chr10	42300000	68197396	4	2	2	25897396
chr10	68197445	92016690	2	2	0	23819245
chr10	92022480	133034747	4	2	2	41012267
chr11	2500000	51600000	4	2	2	49100000
chr11	55700000	132506516	4	2	2	76806516
chr12	2500000	33000000	4	2	2	30500000
chr12	38200000	131351895	4	2	2	93151895
chr13	19500000	112669878	4	2	2	93169878
chr14	19100000	104849540	4	2	2	85749540
chr15	20700000	22874264	4	3	1	2174264
chr15	22876889	30422308	4	2	2	7545419
chr15	30422459	100031392	4	3	1	69608933
chr16	2500000	31971048	4	2	2	29471048
chr16	31973748	33968930	5	3	2	1995182
chr16	34014359	35284771	4	3	1	1270412
chr16	46429028	87854753	4	2	2	41425725
chr17	2500000	22200000	3	2	1	19700000
chr17	25800000	78695210	3	2	1	52895210
chr18	2500000	15400000	2	2	0	12900000
chr18	19000000	75577248	2	2	0	56577248
chr19	2500000	8846761	3	2	1	6346761
chr19	9083124	24400000	4	2	2	15316876
chr19	28600000	56628983	4	2	2	28028983
chr20	2500000	25195509	2	2	0	22695509
chr20	29579996	52485506	5	3	2	22905510
chr20	52485513	60525520	6	4	2	8040007
chr21	9411318	11188085	4	3	1	1776767
chr21	15224047	45629895	4	2	2	30405848
chr22	17900000	21919868	4	2	2	4019868
chr22	22731990	48804566	3	2	1	26072576
chrX	2832070	58567492	4	2	2	55735422
chrX	61734770	152770560	5	3	2	91035790
chrY	2932746	11600000	4	3	1	8667254
chrY	13400000	56873566	4	3	1	43473566
