chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2843433	12068525	2	2	0	9225092
chr1	12068546	13466143	2	1	1	1397597
chr1	13784634	27649094	2	2	0	13864460
chr1	27681534	120524331	4	2	2	92842797
chr1	142535470	144855290	4	3	1	2319820
chr1	145389264	147850301	4	2	2	2461037
chr1	147850333	149752455	4	3	1	1902122
chr1	149752587	246750621	4	2	2	96998034
chr2	2500000	90500000	4	2	2	88000000
chr2	96800000	240699373	4	2	2	143899373
chr3	2500000	87900000	4	2	2	85400000
chr3	93900000	195522430	4	2	2	101622430
chr4	2500000	48200000	4	2	2	45700000
chr4	52700000	188654276	4	2	2	135954276
chr5	2500000	46100000	4	2	2	43600000
chr5	50700000	77872113	4	2	2	27172113
chr5	77882036	178415260	4	4	0	100533224
chr6	2500000	31423606	4	4	0	28923606
chr6	33449554	58700000	4	2	2	25250446
chr6	63300000	168615067	4	2	2	105315067
chr7	2500000	58000000	4	2	2	55500000
chr7	61700000	156638663	4	2	2	94938663
chr8	2500000	6997508	4	2	2	4497508
chr8	6999690	8088502	4	3	1	1088812
chr8	8088877	43100000	4	2	2	35011123
chr8	48100000	143864022	4	2	2	95764022
chr9	2500000	47266433	4	2	2	44766433
chr9	65474794	70939132	4	3	1	5464338
chr9	70939769	138713431	4	2	2	67773662
chr10	2500000	38000000	4	2	2	35500000
chr10	42300000	68156496	4	2	2	25856496
chr10	68160165	92011877	2	2	0	23851712
chr10	92022480	133034747	4	2	2	41012267
chr11	2500000	51600000	4	2	2	49100000
chr11	55700000	132506516	4	2	2	76806516
chr12	2500000	33000000	4	2	2	30500000
chr12	38200000	131351895	4	2	2	93151895
chr13	19500000	112669878	4	2	2	93169878
chr14	19100000	104849540	4	2	2	85749540
chr15	20700000	31118408	4	2	2	10418408
chr15	31168241	100031392	4	4	0	68863151
chr16	2500000	32020547	4	2	2	29520547
chr16	33976389	35284771	4	3	1	1308382
chr16	46427989	87854753	4	2	2	41426764
chr17	2500000	22200000	4	2	2	19700000
chr17	25800000	36166082	4	2	2	10366082
chr17	36661430	78695210	3	2	1	42033780
chr18	2500000	13998492	2	2	0	11498492
chr18	14069319	15410735	2	1	1	1341416
chr18	18529357	75577248	2	2	0	57047891
chr19	2500000	21681049	3	2	1	19181049
chr19	21822710	24400000	4	2	2	2577290
chr19	28600000	56628983	4	2	2	28028983
chr20	2500000	25291599	2	2	0	22791599
chr20	29804208	52484200	5	3	2	22679992
chr20	52486286	60525520	6	4	2	8039234
chr21	9411318	10773278	4	3	1	1361960
chr21	15220158	45629895	4	2	2	30409737
chr22	17900000	22731745	4	2	2	4831745
chr22	22731990	48804566	3	2	1	26072576
chrX	2832070	58567492	4	2	2	55735422
chrX	61682307	152770560	4	3	1	91088253
chrY	2932746	11600000	4	3	1	8667254
chrY	13400000	56873566	4	3	1	43473566
