chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2987268	25181210	2	2	0	22193942
chr1	25293216	121500000	4	2	2	96206784
chr1	128900000	246750621	4	2	2	117850621
chr2	2500000	90500000	4	2	2	88000000
chr2	96800000	240699373	4	2	2	143899373
chr3	2500000	87900000	4	2	2	85400000
chr3	93900000	195522430	4	2	2	101622430
chr4	2500000	48200000	4	2	2	45700000
chr4	52700000	188654276	4	2	2	135954276
chr5	2500000	46100000	4	2	2	43600000
chr5	50700000	77872113	4	2	2	27172113
chr5	77882036	178415260	4	4	0	100533224
chr6	2500000	35428782	4	3	1	32928782
chr6	35436925	58700000	4	2	2	23263075
chr6	63300000	168615067	4	2	2	105315067
chr7	2500000	58000000	4	2	2	55500000
chr7	61700000	142008270	4	2	2	80308270
chr7	142008308	143567732	4	3	1	1559424
chr7	143572286	156638663	4	2	2	13066377
chr8	2500000	7016178	4	2	2	4516178
chr8	7016363	8089335	4	3	1	1072972
chr8	8089693	43100000	4	2	2	35010307
chr8	48100000	143864022	4	2	2	95764022
chr9	2500000	47266433	4	2	2	44766433
chr9	65474794	70940402	4	3	1	5465608
chr9	70942654	138713431	4	2	2	67770777
chr10	2500000	38000000	4	2	2	35500000
chr10	42300000	68155585	4	2	2	25855585
chr10	68156496	92018838	2	2	0	23862342
chr10	92022480	133034747	4	2	2	41012267
chr11	2500000	51600000	4	2	2	49100000
chr11	55700000	132506516	4	2	2	76806516
chr12	2500000	33000000	4	2	2	30500000
chr12	38200000	131351895	4	2	2	93151895
chr13	19500000	112669878	4	2	2	93169878
chr14	19100000	104849540	4	2	2	85749540
chr15	20700000	23604001	4	3	1	2904001
chr15	23604537	28081540	4	4	0	4477003
chr15	28082022	29083221	4	2	2	1001199
chr15	29782500	100031392	4	4	0	70248892
chr16	2500000	31966202	4	2	2	29466202
chr16	33976304	35284771	4	3	1	1308467
chr16	47290771	87854753	4	2	2	40563982
chr17	2500000	21202967	3	2	1	18702967
chr17	25800000	36168538	4	2	2	10368538
chr17	36689019	78695210	3	2	1	42006191
chr18	2500000	15400000	2	2	0	12900000
chr18	19000000	75577248	2	2	0	56577248
chr19	2500000	21540755	3	2	1	19040755
chr19	21786811	24628707	4	2	2	2841896
chr19	27927367	56628983	3	2	1	28701616
chr20	2500000	25733297	2	2	0	23233297
chr20	29804208	52484200	5	3	2	22679992
chr20	52486286	60525520	6	4	2	8039234
chr21	9411318	10768901	4	3	1	1357583
chr21	15220158	45629895	4	2	2	30409737
chr22	17900000	22731745	4	2	2	4831745
chr22	22731990	48804566	3	2	1	26072576
chrX	2832070	58567492	4	2	2	55735422
chrX	61682307	152770560	4	3	1	91088253
chrY	2932746	11600000	4	3	1	8667254
chrY	13400000	56873566	4	3	1	43473566
