chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2500000	120335315	2	1	1	117835315
chr1	120335353	121485435	1	1	0	1150082
chr1	143531408	146488196	2	2	0	2956788
chr1	147382550	246750621	2	1	1	99368071
chr2	2500000	90500000	2	1	1	88000000
chr2	96800000	240699373	2	1	1	143899373
chr3	2500000	87900000	2	1	1	85400000
chr3	93900000	140523881	2	1	1	46623881
chr3	140524107	180617613	4	3	1	40093506
chr3	180632315	195522430	2	1	1	14890115
chr4	2500000	48200000	2	1	1	45700000
chr4	52700000	188654276	2	1	1	135954276
chr5	2500000	46100000	2	1	1	43600000
chr5	50700000	178415260	2	1	1	127715260
chr6	2500000	58779346	2	1	1	56279346
chr6	63356397	168615067	2	1	1	105258670
chr7	2500000	58000000	4	3	1	55500000
chr7	61700000	72036399	4	3	1	10336399
chr7	72038136	156638663	2	1	1	84600527
chr8	2500000	11898282	2	1	1	9398282
chr8	12623886	31736497	0	0	0	19112611
chr8	31750161	36659913	1	1	0	4909752
chr8	36660187	42956257	2	1	1	6296070
chr8	48332691	82579745	2	1	1	34247054
chr8	82580407	143864022	4	3	1	61283615
chr9	2500000	47266146	2	1	1	44766146
chr9	65507614	71394865	2	2	0	5887251
chr9	71394895	138713431	2	1	1	67318536
chr10	2500000	38000000	2	1	1	35500000
chr10	42300000	133034747	2	1	1	90734747
chr11	2500000	51600000	2	1	1	49100000
chr11	55700000	132506516	2	1	1	76806516
chr12	2500000	33000000	2	1	1	30500000
chr12	38200000	131351895	2	1	1	93151895
chr13	19651767	21756692	9	8	1	2104925
chr13	21757822	25016598	6	5	1	3258776
chr13	25888561	29797496	2	1	1	3908935
chr13	29797644	32084901	8	7	1	2287257
chr13	32094055	37025963	7	6	1	4931908
chr13	37026255	43133532	10	9	1	6107277
chr13	43134445	112669878	4	3	1	69535433
chr14	19100000	21572642	1	1	0	2472642
chr14	21572840	104849540	0	0	0	83276700
chr15	20700000	100031392	0	0	0	79331392
chr16	2500000	32071365	2	1	1	29571365
chr16	38600000	48302961	2	2	0	9702961
chr16	48319667	87854753	2	1	1	39535086
chr17	2500000	20038273	0	0	0	17538273
chr17	20044291	21192905	1	1	0	1148614
chr17	25800000	78695210	2	1	1	52895210
chr18	2500000	15400000	0	0	0	12900000
chr18	19000000	75577248	0	0	0	56577248
chr19	2500000	24400000	2	1	1	21900000
chr19	28600000	56628983	2	1	1	28028983
chr20	2500000	19876080	1	1	0	17376080
chr20	19877906	22062905	9	8	1	2184999
chr20	23860498	25082256	8	7	1	1221758
chr20	29490431	59529257	4	3	1	30038826
chr21	15201220	45629895	2	1	1	30428675
chr22	18905894	20309393	3	3	0	1403499
chr22	20316890	48804566	2	2	0	28487676
chrX	2832070	42452133	2	2	0	39620063
chrX	42452145	58566377	2	1	1	16114232
chrX	61682307	152770560	2	2	0	91088253
