chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2500000	120488418	2	1	1	117988418
chr1	143543821	144855295	2	2	0	1311474
chr1	145076161	147892087	2	1	1	2815926
chr1	147920070	149754169	2	2	0	1834099
chr1	149758064	246750621	2	1	1	96992557
chr2	2500000	90500000	2	1	1	88000000
chr2	96800000	240699373	2	1	1	143899373
chr3	2500000	87900000	2	1	1	85400000
chr3	93900000	140710395	2	1	1	46810395
chr3	140725027	181590012	3	2	1	40864985
chr3	181590598	195522430	2	1	1	13931832
chr4	2500000	48200000	2	1	1	45700000
chr4	52700000	188654276	2	1	1	135954276
chr5	2500000	46100000	2	1	1	43600000
chr5	50700000	178415260	2	1	1	127715260
chr6	2500000	58700000	2	1	1	56200000
chr6	63300000	168615067	2	1	1	105315067
chr7	2500000	58000000	3	2	1	55500000
chr7	61700000	72006728	3	2	1	10306728
chr7	72006834	156638663	2	1	1	84631829
chr8	2500000	11870383	2	1	1	9370383
chr8	12830584	35701250	1	1	0	22870666
chr8	35824900	42072438	2	1	1	6247538
chr8	42078254	43100000	1	1	0	1021746
chr8	48116095	82722134	2	1	1	34606039
chr8	82723111	143864022	3	2	1	61140911
chr9	2500000	47266146	2	1	1	44766146
chr9	65488054	70991753	2	2	0	5503699
chr9	71018204	138713431	2	1	1	67695227
chr10	2500000	38000000	2	1	1	35500000
chr10	42300000	133034747	2	1	1	90734747
chr11	2500000	51600000	2	1	1	49100000
chr11	55700000	132506516	2	1	1	76806516
chr12	2500000	33000000	2	1	1	30500000
chr12	38200000	131351895	2	1	1	93151895
chr13	19651767	112669878	4	3	1	93018111
chr14	19100000	104849540	1	1	0	85749540
chr15	20700000	22150520	0	0	0	1450520
chr15	22706219	100031392	1	1	0	77325173
chr16	2500000	32497154	2	1	1	29997154
chr16	34013021	35284192	2	2	0	1271171
chr16	46453154	87854753	2	1	1	41401599
chr17	2500000	20617985	1	1	0	18117985
chr17	25800000	78695210	2	1	1	52895210
chr18	2500000	15400000	1	1	0	12900000
chr18	19000000	75577248	1	1	0	56577248
chr19	2500000	24400000	2	1	1	21900000
chr19	28600000	56628983	2	1	1	28028983
chr20	2500000	19753640	1	1	0	17253640
chr20	19753700	23230219	5	4	1	3476519
chr20	23230703	25153856	6	5	1	1923153
chr20	29594793	60525520	4	3	1	30930727
chr21	14370037	45629895	2	1	1	31259858
chr22	17900000	48804566	2	2	0	30904566
chrX	2832360	58100000	2	1	1	55267640
chrX	63000000	152770560	2	1	1	89770560
