chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2847119	12890102	1	1	0	10042983
chr1	12890106	14688209	0	0	0	1798103
chr1	14693336	16199051	1	1	0	1505715
chr1	17204591	18607642	0	0	0	1403051
chr1	18609246	28411710	1	1	0	9802464
chr1	28422847	121485435	2	1	1	93062588
chr1	142535470	144855312	2	2	0	2319842
chr1	144855374	246750621	2	1	1	101895247
chr2	2500000	90500000	2	1	1	88000000
chr2	96800000	240699373	2	1	1	143899373
chr3	2500000	87900000	2	1	1	85400000
chr3	93900000	195522430	2	1	1	101622430
chr4	2500000	48200000	2	1	1	45700000
chr4	52700000	188654276	2	1	1	135954276
chr5	2500000	46100000	2	1	1	43600000
chr5	50700000	78183261	2	1	1	27483261
chr5	78183471	178415260	2	2	0	100231789
chr6	2500000	58700000	2	1	1	56200000
chr6	63300000	168615067	2	1	1	105315067
chr7	2500000	58000000	2	1	1	55500000
chr7	61700000	156638663	2	1	1	94938663
chr8	2500000	7025513	2	1	1	4525513
chr8	7027448	8088877	3	2	1	1061429
chr8	8088933	43100000	2	1	1	35011067
chr8	48100000	143864022	2	1	1	95764022
chr9	2500000	47266576	2	1	1	44766576
chr9	65474794	71311151	2	2	0	5836357
chr9	71311576	138713431	2	1	1	67401855
chr10	2500000	38000000	2	1	1	35500000
chr10	42300000	68197396	2	1	1	25897396
chr10	68197445	92016690	1	1	0	23819245
chr10	92022480	133034747	2	1	1	41012267
chr11	2500000	51600000	2	1	1	49100000
chr11	55700000	132506516	2	1	1	76806516
chr12	2500000	33000000	2	1	1	30500000
chr12	38200000	131351895	2	1	1	93151895
chr13	19500000	112669878	2	1	1	93169878
chr14	19100000	104849540	2	1	1	85749540
chr15	20700000	22874264	3	2	1	2174264
chr15	22876889	30422308	2	1	1	7545419
chr15	30422459	100031392	2	2	0	69608933
chr16	2500000	33968930	2	1	1	31468930
chr16	34014359	35284771	3	2	1	1270412
chr16	46429028	87854753	2	1	1	41425725
chr17	2500000	22200000	2	1	1	19700000
chr17	25800000	78695210	2	1	1	52895210
chr18	2500000	15400000	1	1	0	12900000
chr18	19000000	75577248	1	1	0	56577248
chr19	2500000	24400000	2	1	1	21900000
chr19	28600000	56628983	2	1	1	28028983
chr20	2500000	25195509	1	1	0	22695509
chr20	29579996	60525520	3	2	1	30945524
chr21	9411318	11188085	2	2	0	1776767
chr21	15224047	45629895	2	1	1	30405848
chr22	17900000	48804566	2	1	1	30904566
chrX	2832070	58100000	2	1	1	55267930
chrX	63000000	152770560	2	1	1	89770560
chrY	2932746	10094694	2	2	0	7161948
chrY	13109211	56873566	2	1	1	43764355
